Fq (MHz),Relative Power,?,Radial Velocity (km/s)
1419.390625,0.03865,0.000499,77.468216
1419.391797,0.03877,0.000499,77.693802
1419.392969,0.038715,0.0005,77.483521
1419.394141,0.038595,0.0005,77.195648
1419.395313,0.038619,0.000499,77.360359
1419.396484,0.038704,0.000498,77.649063
1419.397656,0.038642,0.000497,77.686356
1419.398828,0.038575,0.000496,77.752563
1419.4,0.038608,0.000496,77.854828
1419.401172,0.03866,0.000496,77.867409
1419.402344,0.038648,0.000497,77.756226
1419.403516,0.038498,0.000497,77.473137
1419.404687,0.038457,0.000496,77.588402
1419.405859,0.038482,0.000495,77.801369
1419.407031,0.038526,0.000494,77.946739
1419.408203,0.038541,0.000494,77.989319
1419.409375,0.0385,0.000495,77.848282
1419.410547,0.038412,0.000495,77.637215
1419.411719,0.038405,0.000495,77.561867
1419.412891,0.038468,0.000495,77.68277
1419.414062,0.038681,0.000497,77.821442
1419.415234,0.03895,0.0005,77.928215
1419.416406,0.038617,0.000497,77.751503
1419.417578,0.038325,0.000493,77.686554
1419.41875,0.038332,0.000492,77.842178
1419.419922,0.038447,0.000493,77.982033
1419.421094,0.038417,0.000493,77.861656
1419.422266,0.038286,0.000493,77.636894
1419.423437,0.038209,0.000492,77.638336
1419.424609,0.038173,0.000491,77.780632
1419.425781,0.038109,0.00049,77.739204
1419.426953,0.038108,0.000491,77.691475
1419.428125,0.038151,0.000491,77.736359
1419.429297,0.038172,0.00049,77.913162
1419.430469,0.03808,0.00049,77.649635
1419.431641,0.038013,0.000491,77.354698
1419.432812,0.037979,0.00049,77.548798
1419.433984,0.038054,0.000488,77.945763
1419.435156,0.038107,0.000489,77.950081
1419.436328,0.038122,0.000488,78.124634
1419.4375,0.038079,0.000487,78.264183
1419.438672,0.038029,0.000487,78.115868
1419.439844,0.038037,0.000487,78.052612
1419.441016,0.037925,0.000487,77.835648
1419.442188,0.037912,0.000487,77.861786
1419.443359,0.037897,0.000486,78.043732
1419.444531,0.03782,0.000485,78.043449
1419.445703,0.037797,0.000485,77.90744
1419.446875,0.03774,0.000485,77.788086
1419.448047,0.03775,0.000484,77.938065
1419.449219,0.037857,0.000485,78.101608
